	ID	Group
SRR12496148	556	Legumes
SRR12496157	557	Legumes
SRR12496158	558	Legumes
SRR12496162	559	Legumes
SRR12496164	560	Legumes
SRR12496165	561	Legumes
SRR12496166	562	Legumes
SRR12496167	563	Legumes
SRR12496168	564	Legumes
SRR12496169	565	Legumes
SRR12496170	566	Legumes
SRR12496171	567	Legumes
SRR12496173	568	Legumes
SRR12496175	569	Legumes
SRR12496176	570	Legumes
SRR12496177	571	Legumes
SRR12496178	572	Legumes
SRR12496179	573	Legumes
SRR12496180	574	Legumes
SRR12496181	575	Legumes
SRR12842799	576	Legumes
SRR12842800	577	Legumes
SRR12842802	578	Legumes
SRR12842803	579	Legumes
SRR12842804	580	Legumes
SRR12842808	581	Legumes
SRR12842809	582	Legumes
SRR12842811	583	Legumes
SRR12842812	584	Legumes
SRR12842813	585	Legumes
SRR12842814	586	Legumes
SRR12842815	587	Legumes
SRR12842816	588	Legumes
SRR12842817	589	Legumes
SRR12842818	590	Legumes
SRR12842820	591	Legumes
SRR12842822	592	Legumes
SRR12842823	593	Legumes
SRR12842824	594	Legumes
SRR12842825	595	Legumes
SRR12842844	596	Legumes
SRR12842845	597	Legumes
SRR12842846	598	Legumes
SRR12842847	599	Legumes
SRR12842848	600	Legumes
SRR12842849	601	Legumes
SRR12842850	602	Legumes
SRR12842851	603	Legumes
SRR12842852	604	Legumes
SRR12842853	605	Legumes
SRR12842855	606	Legumes
SRR12842856	607	Legumes
SRR12842857	608	Legumes
SRR12842858	609	Legumes
SRR12842859	610	Legumes
SRR12842860	611	Legumes
SRR12842929	612	Legumes
SRR12842931	613	Legumes
SRR12842932	614	Legumes
SRR12842933	615	Legumes
SRR12842934	616	Legumes
SRR12842935	617	Legumes
SRR12842936	618	Legumes
SRR12842937	619	Legumes
SRR12842938	620	Legumes
SRR12842957	621	Legumes
SRR12842958	622	Legumes
SRR12842959	623	Legumes
SRR12842971	624	Legumes
SRR12842972	625	Legumes
SRR12842973	626	Legumes
SRR12842974	627	Legumes
SRR12842975	628	Legumes
SRR12842976	629	Legumes
SRR12842978	630	Legumes
SRR12842981	631	Legumes
SRR12842982	632	Legumes
SRR12842983	633	Legumes
SRR12842984	634	Legumes
SRR12842985	635	Legumes
SRR12842986	636	Legumes
SRR12842987	637	Legumes
SRR12842988	638	Legumes
SRR12843025	639	Legumes
SRR12843026	640	Legumes
SRR12843028	641	Legumes
SRR12843029	642	Legumes
SRR12843030	643	Legumes
SRR12843031	644	Legumes
SRR12843033	645	Legumes
SRR12843034	646	Legumes
SRR12843035	647	Legumes
SRR12843036	648	Legumes
SRR12843037	649	Legumes
SRR12843056	650	Legumes
SRR12843061	651	Legumes
SRR12843062	652	Legumes
SRR12843063	653	Legumes
SRR12843067	654	Legumes
SRR12843068	655	Legumes
SRR12843069	656	Legumes
SRR12843070	657	Legumes
SRR12843071	658	Legumes
SRR12843072	659	Legumes
SRR12843073	660	Legumes
SRR12843074	661	Legumes
SRR12843075	662	Legumes
SRR12843077	663	Legumes
SRR12843078	664	Legumes
SRR13474910	665	Legumes
SRR13474911	666	Legumes
SRR13474912	667	Legumes
SRR13474913	668	Legumes
SRR13474914	669	Legumes
SRR13474916	670	Legumes
SRR13474917	671	Legumes
SRR13474918	672	Legumes
SRR13474919	673	Legumes
SRR13474944	674	Legumes
SRR13474945	675	Legumes
SRR13474946	676	Legumes
SRR13474947	677	Legumes
SRR13474948	678	Legumes
SRR13474950	679	Legumes
SRR13474951	680	Legumes
SRR13474952	681	Legumes
SRR13474953	682	Legumes
SRR13474961	683	Legumes
SRR13474962	684	Legumes
SRR13474964	685	Legumes
SRR13474965	686	Legumes
SRR13474967	687	Legumes
SRR13475057	688	Legumes
SRR13475058	689	Legumes
SRR13475059	690	Legumes
SRR14675294	691	Legumes
SRR14675295	692	Legumes
SRR14675296	693	Legumes
SRR14675297	694	Legumes
SRR14675298	695	Legumes
SRR14675299	696	Legumes
SRR14675300	697	Legumes
SRR14675301	698	Legumes
SRR14675302	699	Legumes
SRR14675303	700	Legumes
SRR14675304	701	Legumes
SRR14675305	702	Legumes
SRR14675306	703	Legumes
SRR14675307	704	Legumes
SRR14675308	705	Legumes
SRR14675309	706	Legumes
SRR14675310	707	Legumes
SRR14675311	708	Legumes
SRR14675313	709	Legumes
SRR14675314	710	Legumes
SRR14675315	711	Legumes
SRR14675316	712	Legumes
SRR14675317	713	Legumes
SRR14675318	714	Legumes
SRR14675319	715	Legumes
SRR14675320	716	Legumes
SRR14675321	717	Legumes
SRR14675322	718	Legumes
SRR14675323	719	Legumes
SRR14675324	720	Legumes
SRR14675325	721	Legumes
SRR14675326	722	Legumes
SRR14675327	723	Legumes
SRR14675328	724	Legumes
SRR14675329	725	Legumes
SRR14675330	726	Legumes
SRR14675331	727	Legumes
SRR14675332	728	Legumes
SRR14675333	729	Legumes
SRR14675334	730	Legumes
SRR14675335	731	Legumes
SRR14675336	732	Legumes
SRR14675337	733	Legumes
SRR14675338	734	Legumes
SRR14675339	735	Legumes
SRR14675340	736	Legumes
SRR14675341	737	Legumes
SRR14675342	738	Legumes
SRR14675343	739	Legumes
SRR14675344	740	Legumes
SRR14675345	741	Legumes
SRR14675346	742	Legumes
SRR14675347	743	Legumes
SRR14675348	744	Legumes
SRR14675349	745	Legumes
SRR14675350	746	Legumes
SRR14675351	747	Legumes
SRR14675352	748	Legumes
SRR14675353	749	Legumes
SRR14675354	750	Legumes
SRR14675355	751	Legumes
SRR14675356	752	Legumes
SRR14675357	753	Legumes
SRR14675358	754	Legumes
SRR14675359	755	Legumes
SRR14675360	756	Legumes
SRR14675361	757	Legumes
SRR14675362	758	Legumes
SRR14675363	759	Legumes
SRR14675364	760	Legumes
SRR14675365	761	Legumes
SRR15946034	762	Legumes
SRR15946035	763	Legumes
SRR15946036	764	Legumes
SRR15946056	765	Legumes
SRR15946062	766	Legumes
SRR15946063	767	Legumes
SRR15946064	768	Legumes
SRR15946067	769	Legumes
SRR15946068	770	Legumes
SRR5859796	771	Legumes
SRR5859798	772	Legumes
SRR5859799	773	Legumes
SRR5859800	774	Legumes
SRR5859801	775	Legumes
SRR5859802	776	Legumes
SRR5859812	777	Legumes
SRR5859833	778	Legumes
SRR5859834	779	Legumes
SRR5859836	780	Legumes
SRR5859837	781	Legumes
SRR5859871	782	Legumes
SRR5859876	783	Legumes
SRR5859880	784	Legumes
SRR5859912	785	Legumes
SRR5859915	786	Legumes
SRR5859918	787	Legumes
SRR5859921	788	Legumes
SRR5859922	789	Legumes
SRR5859955	790	Legumes
SRR5859958	791	Legumes
SRR5859964	792	Legumes
SRR7938916	793	Legumes
SRR7938917	794	Legumes
SRR7938918	795	Legumes
SRR7938919	796	Legumes
SRR7938920	797	Legumes
SRR7938921	798	Legumes
SRR7938922	799	Legumes
SRR7938923	800	Legumes
SRR7938924	801	Legumes
SRR7938925	802	Legumes
SRR7938949	803	Legumes
SRR7938950	804	Legumes
