	Kingdom	Phylum	Class	Order	Family	Genus	
OTU_116	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Unassign	
OTU_117	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	
OTU_118	Bacteria	Acidobacteriota	Subgroup_11	Subgroup_11	Subgroup_11	Subgroup_11	
OTU_119	Bacteria	Acidobacteriota	Subgroup_18	Subgroup_18	Subgroup_18	Subgroup_18	
OTU_120	Bacteria	Acidobacteriota	Subgroup_20	Subgroup_20	Subgroup_20	Subgroup_20	
OTU_121	Bacteria	Acidobacteriota	Subgroup_21	Subgroup_21	Subgroup_21	Subgroup_21	
OTU_122	Bacteria	Acidobacteriota	Subgroup_22	Subgroup_22	Subgroup_22	Subgroup_22	
OTU_123	Bacteria	Acidobacteriota	Subgroup_25	Subgroup_25	Subgroup_25	Subgroup_25	
OTU_124	Bacteria	Acidobacteriota	Subgroup_26	Subgroup_26	Subgroup_26	Subgroup_26	
OTU_125	Bacteria	Acidobacteriota	Subgroup_5	Subgroup_5	Subgroup_5	Subgroup_5	
OTU_126	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	
OTU_127	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23	
OTU_128	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	TPD-58	
OTU_129	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculum	
OTU_130	Bacteria	Acidobacteriota	Vicinamibacteria	Unassign	Unassign	Unassign	
OTU_131	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	Subgroup_17	Subgroup_17	
OTU_132	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_9	Subgroup_9	Subgroup_9	
OTU_133	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unassign	Unassign	
OTU_134	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Unassign	
OTU_135	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	
OTU_136	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	
OTU_137	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	
OTU_138	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Unassign	
OTU_139	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unassign	Unassign	
OTU_140	Bacteria	Acidobacteriota	c5LKS83	c5LKS83	c5LKS83	c5LKS83	
OTU_141	Bacteria	Actinobacteriota	Unassign	Unassign	Unassign	Unassign	
OTU_142	Bacteria	Actinobacteriota	Acidimicrobiia	Unassign	Unassign	Unassign	
OTU_143	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unassign	
OTU_144	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis	Aciditerrimonas	
OTU_145	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Unassign	Unassign	
OTU_146	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	
OTU_147	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinales	Actinomarinales	
OTU_148	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Unassign	Unassign	
OTU_149	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	
OTU_150	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Unassign	Unassign	
OTU_151	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	
OTU_152	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Unassign	
OTU_153	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	
OTU_154	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	
OTU_155	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacteraceae	
OTU_156	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Unassign	
OTU_157	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Unassign	
OTU_158	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Candidatus_Microthrix	
OTU_159	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	
OTU_160	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	
OTU_161	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Unassign	
OTU_162	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichales	Microtrichales	
OTU_163	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Unassign	Unassign	
OTU_164	Bacteria	Actinobacteriota	Acidimicrobiia	Unassign	Unassign	Unassign	
OTU_165	Bacteria	Actinobacteriota	Actinobacteria	Unassign	Unassign	Unassign	
OTU_166	Bacteria	Actinobacteriota	Actinobacteria	0319-7L14	0319-7L14	0319-7L14	
OTU_167	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Unassign	
OTU_168	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
OTU_169	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	F0332	
OTU_170	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	
OTU_171	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Unassign	
OTU_172	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Aeriscardovia	
OTU_173	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
OTU_174	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	
OTU_175	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Neoscardovia	
OTU_176	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Pseudoscardovia	
OTU_177	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	
OTU_178	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Unassign	
